Total1	Electricity	Gas2	Oil3	Total1	Electricity	Gas2	Oil3
1973	840	(S)	(S)	(S)	100	(S)	(S)	(S)
1974	760	455	269	29	100	60	35	4
1975	430	253	141	29	100	59	33	7
1976	336	200	111	22	100	59	33	7
1977	399	261	115	18	100	66	29	5
1978	498	339	131	24	100	68	26	5
1979	570	386	150	27	100	68	26	5
1980	545	362	165	12	100	66	30	2
1981	447	293	142	7	100	66	32	2
1982	374	255	103	9	100	68	28	3
1983	467	327	133	3	100	70	28	1
1984	627	452	165	5	100	72	26	1
1985	631	425	197	3	100	67	31	(Z)
1986	636	400	221	8	100	63	35	1
1987	546	307	223	5	100	56	41	1
1988	445	238	196	4	100	54	44	1
1989	397	215	167	5	100	54	42	1
1990	342	182	150	3	100	53	44	1
1991	253	139	103	3	100	55	41	1
1992	194	86	101	1	100	44	52	1
1993	153	70	80	(Z)	100	45	52	(S)x
1994	187	86	97	(S)	100	46	52	(S)
1995	247	126	117	1	100	51	47	(Z)
1996	284	147	135	(Z)	100	52	48	(Z)
1997	284	155	128	(Z)	100	55	45	(Z)
1998	314	173	137	3	100	55	44	1
1999	334	186	144	4	100	55	43	1
2000	332	180	149	1	100	54	45	(Z)
2001	315	166	147	(Z)	100	53	47	(Z)
2002	323	174	146	1	100	54	45	(Z)
2003	292	139	150	1	100	48	51	(Z)
2004	310	165	143	1	100	53	46	(Z)
2005	296	162	126	5	100	55	43	2
2006	325	182	141	(Z)	100	56	43	(Z)
2007	284	164	116	2	100	58	41	1
2008	301	186	112	1	100	62	37	(Z)
2009	274	169	99	1	100	62	36	(Z)
2010	155	97	55	(Z)	100	62	35	(Z)
2011	138	85	51	(Z)	100	62	37	(Z)
2012	166	99	65	(Z)	100	59	39	(Z)
2013	195	129	64	0	100	66	33	0
2014	264	176	85	0	100	66	32	0
2015	320	203	117	(Z)	100	63	36	(Z)
RSE/SE	5	7	9	(A)	(NA)	3	3	(Z)
